Time,CPU 0 %usr,CPU 1 %usr,CPU 2 %usr,CPU 3 %usr,CPU all %usr,CPU 0 %sys,CPU 1 %sys,CPU 2 %sys,CPU 3 %sys,CPU all %sys,CPU 0 %idle,CPU 1 %idle,CPU 2 %idle,CPU 3 %idle,CPU all %idle,CPU 0 %nice,CPU 1 %nice,CPU 2 %nice,CPU 3 %nice,CPU all %nice,CPU 0 %iowait,CPU 1 %iowait,CPU 2 %iowait,CPU 3 %iowait,CPU all %iowait,CPU 0 %irq,CPU 1 %irq,CPU 2 %irq,CPU 3 %irq,CPU all %irq,CPU 0 %soft,CPU 1 %soft,CPU 2 %soft,CPU 3 %soft,CPU all %soft,CPU 0 %steal,CPU 1 %steal,CPU 2 %steal,CPU 3 %steal,CPU all %steal,CPU 0 %guest,CPU 1 %guest,CPU 2 %guest,CPU 3 %guest,CPU all %guest,CPU 0 %gnice,CPU 1 %gnice,CPU 2 %gnice,CPU 3 %gnice,CPU all %gnice
23:05:19,0.0,0.0,0.0,46.08,11.75,0.0,0.0,0.0,12.75,3.25,100.0,100.0,100.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.18,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:20,24.75,1.01,1.01,7.0,8.52,8.91,0.0,2.02,3.0,3.51,27.72,98.99,95.96,70.0,72.93,0.0,0.0,0.0,0.0,0.0,36.63,0.0,1.01,18.0,14.04,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:21,64.29,0.0,0.0,0.0,15.87,11.22,0.0,1.0,0.0,3.02,0.0,100.0,99.0,100.0,75.06,0.0,0.0,0.0,0.0,0.0,24.49,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:22,58.59,0.0,0.0,0.0,14.57,7.07,0.0,0.0,0.0,1.76,0.0,100.0,100.0,100.0,75.13,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:23,65.98,0.0,0.0,0.0,16.16,8.25,0.0,0.0,2.0,2.53,0.0,100.0,100.0,98.0,75.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:24,70.0,0.0,0.0,0.0,17.68,9.0,1.0,0.0,0.0,2.53,0.0,91.0,96.97,100.0,71.72,0.0,0.0,0.0,0.0,0.0,21.0,8.0,3.03,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:25,16.84,0.0,1.01,17.17,8.67,5.26,2.02,1.01,4.04,3.06,27.37,96.97,96.97,70.71,73.47,0.0,0.0,0.0,0.0,0.0,49.47,1.01,1.01,8.08,14.54,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:26,16.0,0.0,0.0,51.02,16.62,6.0,0.0,0.0,8.16,3.53,76.0,100.0,100.0,24.49,75.31,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.31,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:27,0.0,68.93,0.0,0.0,17.75,0.0,10.68,0.0,0.0,2.75,100.0,0.0,100.0,100.0,74.25,0.0,0.0,0.0,0.0,0.0,0.0,19.42,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:28,3.03,24.27,2.0,1.02,7.75,2.02,9.71,1.0,3.06,4.0,93.94,4.85,97.0,90.82,71.0,0.0,0.0,0.0,0.0,0.0,1.01,60.19,0.0,5.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:29,7.22,67.68,0.0,6.12,20.41,5.15,3.03,0.0,2.04,2.55,81.44,27.27,100.0,91.84,75.0,0.0,0.0,0.0,0.0,0.0,6.19,2.02,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:30,3.0,98.02,3.03,4.08,27.39,3.0,0.99,0.0,1.02,1.26,93.0,0.99,94.95,93.88,70.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.02,1.02,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:05:31,1.98,98.99,0.0,3.0,25.75,2.97,0.0,1.0,3.0,1.75,95.05,1.01,99.0,94.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
